,x,y,u
0.197,0.88957976,0.988361425,0.430853935
0.198,0.889186146,0.98825229,0.433015016
0.199,0.888794785,0.988142778,0.435175703
0.2,0.888405685,0.988032891,0.437335995
0.201,0.888018853,0.987922632,0.439495889
0.202,0.887634297,0.987812004,0.441655383
0.203,0.887252025,0.987701007,0.443814476
0.204,0.886872044,0.987589646,0.445973165
0.205,0.886494363,0.987477922,0.448131448
0.206,0.88611899,0.987365838,0.450289324
0.207,0.885745932,0.987253396,0.45244679
0.208,0.885375196,0.987140598,0.454603845
0.209,0.885006791,0.987027447,0.456760487
0.21,0.884640725,0.986913946,0.458916713
0.211,0.884277004,0.986800096,0.461072521
0.212,0.883915637,0.986685901,0.463227911
0.213,0.883556631,0.986571362,0.465382879
0.214,0.883199995,0.986456482,0.467537424
0.215,0.882845735,0.986341264,0.469691544
0.216,0.882493859,0.98622571,0.471845237
0.217,0.882144376,0.986109822,0.4739985
0.218,0.881797291,0.985993604,0.476151333
0.219,0.881452614,0.985877057,0.478303732
0.22,0.881110352,0.985760183,0.480455697
0.221,0.880770512,0.985642987,0.482607225
0.222,0.880433102,0.985525469,0.484758314
0.223,0.880098129,0.985407633,0.486908962
0.224,0.879765601,0.985289481,0.489059167
0.225,0.879435525,0.985171015,0.491208927
0.226,0.879107909,0.985052238,0.493358241
0.227,0.87878276,0.984933153,0.495507107
0.228,0.878460086,0.984813762,0.497655521
0.229,0.878139895,0.984694068,0.499803484
0.23,0.877822192,0.984574073,0.501950992
0.231,0.877506987,0.98445378,0.504098043
0.232,0.877194287,0.984333191,0.506244636
0.233,0.876884098,0.98421231,0.508390769
0.234,0.876576428,0.984091138,0.510536439
0.235,0.876271285,0.983969677,0.512681645
0.236,0.875968676,0.983847932,0.514826385
0.237,0.875668608,0.983725904,0.516970657
0.238,0.875371089,0.983603596,0.519114459
0.239,0.875076125,0.983481011,0.521257789
0.24,0.874783725,0.983358151,0.523400645
0.241,0.874493894,0.983235018,0.525543025
0.242,0.874206642,0.983111616,0.527684927
0.243,0.873921974,0.982987947,0.52982635
0.244,0.873639898,0.982864014,0.531967291
0.245,0.873360422,0.982739819,0.534107748
0.246,0.873083552,0.982615365,0.536247719
0.247,0.872809295,0.982490655,0.538387203
0.248,0.87253766,0.982365692,0.540526198
0.249,0.872268652,0.982240477,0.542664701
0.25,0.872002279,0.982115014,0.54480271
0.251,0.871738549,0.981989306,0.546940225
0.252,0.871477467,0.981863354,0.549077242
0.253,0.871219042,0.981737163,0.55121376
0.254,0.870963281,0.981610734,0.553349777
0.255,0.87071019,0.98148407,0.55548529
0.256,0.870459776,0.981357174,0.557620299
0.257,0.870212047,0.981230049,0.559754801
0.258,0.86996701,0.981102697,0.561888794
0.259,0.869724671,0.980975121,0.564022276
0.26,0.869485037,0.980847324,0.566155245
0.261,0.869248116,0.980719309,0.5682877
0.262,0.869013915,0.980591078,0.570419638
0.263,0.86878244,0.980462634,0.572551058
0.264,0.868553698,0.98033398,0.574681957
0.265,0.868327696,0.980205119,0.576812333
0.266,0.868104441,0.980076053,0.578942186
0.267,0.86788394,0.979946786,0.581071512
0.268,0.8676662,0.979817319,0.583200309
0.269,0.867451228,0.979687656,0.585328577
0.27,0.86723903,0.9795578,0.587456313
0.271,0.867029613,0.979427753,0.589583514
0.272,0.866822984,0.979297518,0.59171018
0.273,0.866619151,0.979167098,0.593836308
0.274,0.866418118,0.979036496,0.595961896
0.275,0.866219894,0.978905714,0.598086942
0.276,0.866024485,0.978774756,0.600211445
0.277,0.865831898,0.978643624,0.602335402
0.278,0.86564214,0.978512321,0.604458811
0.279,0.865455216,0.978380851,0.606581671
0.28,0.865271135,0.978249214,0.60870398
0.281,0.865089902,0.978117416,0.610825736
