,x,y
25.7,0.534460544,1.857415985
25.8,0.437729172,1.770945942
25.9,0.363551824,1.671370818
26,0.306771291,1.564996727
26.1,0.263209901,1.456506661
26.2,0.229641631,1.349192692
26.3,0.203640299,1.245256504
26.4,0.183405064,1.146089294
26.5,0.167605591,1.052500223
26.6,0.155258641,0.964890693
26.7,0.145634868,0.883382385
26.8,0.138190356,0.807909275
26.9,0.13251701,0.738282874
27,0.128306806,0.674238091
27.1,0.125326014,0.615465215
27.2,0.123396575,0.561632074
27.3,0.12238255,0.512399214
27.4,0.122180224,0.467430165
27.5,0.122710809,0.426398221
27.6,0.12391504,0.388990766
27.7,0.125749136,0.35491187
27.8,0.128181763,0.323883669
27.9,0.13119175,0.2956469
28,0.134766342,0.269960853
28.1,0.13889988,0.246602932
28.2,0.14359279,0.22536795
28.3,0.148850814,0.206067276
28.4,0.154684431,0.188527877
28.5,0.161108416,0.172591322
28.6,0.168141522,0.158112781
28.7,0.175806247,0.144960036
28.8,0.184128679,0.13301252
28.9,0.193138402,0.12216041
29,0.202868446,0.112303756
29.1,0.213355291,0.103351669
29.2,0.224638894,0.095221564
29.3,0.236762758,0.087838455
29.4,0.249774025,0.081134297
29.5,0.263723594,0.075047391
29.6,0.278666265,0.069521829
29.7,0.294660898,0.064506985
29.8,0.311770599,0.059957055
29.9,0.330062926,0.055830634
30,0.349610105,0.052090333
30.1,0.370489271,0.04870243
30.2,0.392782726,0.04563656
30.3,0.416578207,0.042865429
30.4,0.44196918,0.040364567
30.5,0.46905514,0.038112099
30.6,0.497941925,0.036088557
30.7,0.528742053,0.034276702
30.8,0.561575052,0.032661385
30.9,0.596567813,0.031229429
31,0.633854938,0.029969533
31.1,0.673579089,0.028872213
31.2,0.715891332,0.027929764
31.3,0.760951464,0.027136255
31.4,0.808928312,0.026487567
31.5,0.859999994,0.025981464
31.6,0.914354119,0.025617724
31.7,0.972187904,0.025398319
31.8,1.033708172,0.025327681
31.9,1.099131193,0.025413056
32,1.168682302,0.025664978
32.1,1.242595228,0.026097901
32.2,1.321111026,0.026731024
32.3,1.404476474,0.027589386
32.4,1.492941753,0.028705312
32.5,1.586757156,0.030120317
32.6,1.686168482,0.031887648
32.7,1.791410655,0.034075678
32.8,1.902698894,0.036772463
32.9,2.020216564,0.040091909
33,2.144098423,0.044182152
33.1,2.274407533,0.049237025
33.2,2.411103361,0.055511829
33.3,2.553997617,0.063345122
33.4,2.702693019,0.073188939
33.5,2.856498256,0.085650768
33.6,3.014309971,0.101551818
33.7,3.174449481,0.122007502
33.8,3.334438559,0.148537418
33.9,3.490695944,0.183212565
34,3.638137093,0.228845244
34.1,3.769670183,0.289217757
34.2,3.875614121,0.369321537
34.3,3.943142027,0.475524159
34.4,3.956010256,0.615477673
34.5,3.895099475,0.797413505
34.6,3.740638783,1.028272647
34.7,3.47716183,1.310085036
34.8,3.101588927,1.634614301
34.9,2.632374641,1.978143032
35,2.113571143,2.301050084
35.1,1.606018145,2.557288381
35.2,1.165479149,2.712264698
35.3,0.821699365,2.757147023
35.4,0.574406528,2.707986917
35.5,0.405302249,2.592736761
35.6,0.292210127,2.438547289
35.7,0.216681707,2.265949381
35.8,0.16566185,2.088453421
35.9,0.130575699,1.914205785
36,0.105954244,1.747780082
36.1,0.088326565,1.591520546
36.2,0.075471864,1.446425845
36.3,0.065948061,1.312699706
36.4,0.058801931,1.190086736
36.5,0.053391474,1.078076002
36.6,0.04927623,0.976024408
36.7,0.046148671,0.883231448
36.8,0.043790588,0.798984299
36.9,0.042044895,0.722584668
37,0.040797089,0.653364301
37.1,0.039962846,0.590693407
37.2,0.039479598,0.533984645
37.3,0.039300704,0.482694331
37.4,0.039391388,0.43632192
37.5,0.039725837,0.394408461
37.6,0.040285132,0.356534435
37.7,0.041055735,0.322317296
37.8,0.042028388,0.291408863
37.9,0.043197288,0.263492721
38,0.044559484,0.238281666
38.1,0.046114422,0.215515271
38.2,0.047863602,0.19495758
38.3,0.049810326,0.176394959
38.4,0.051959509,0.159634092
38.5,0.054317542,0.144500134
38.6,0.056892192,0.13083501
38.7,0.059692539,0.118495858
38.8,0.062728933,0.107353604
38.9,0.066012972,0.097291661
39,0.069557501,0.088204746
39.1,0.073376628,0.079997802
39.2,0.077485741,0.072585018
39.3,0.081901549,0.065888947
39.4,0.086642132,0.059839693
39.5,0.091726989,0.054374188
39.6,0.097177111,0.049435527
39.7,0.103015051,0.044972374
39.8,0.10926501,0.04093842
39.9,0.115952926,0.037291892
40,0.123106574,0.033995113
40.1,0.130755676,0.031014104
40.2,0.138932018,0.02831822
40.3,0.147669579,0.025879829
40.4,0.157004662,0.023674013
40.5,0.166976049,0.021678304
40.6,0.177625151,0.01987245
40.7,0.188996182,0.018238189
40.8,0.201136334,0.016759065
40.9,0.214095975,0.015420244
41,0.227928852,0.014208361
41.1,0.242692309,0.013111375
41.2,0.258447526,0.01211844
41.3,0.275259764,0.011219794
41.4,0.293198634,0.010406651
41.5,0.31233838,0.009671107
41.6,0.332758185,0.009006062
41.7,0.354542485,0.00840514
41.8,0.37778132,0.007862624
41.9,0.402570694,0.007373397
42,0.429012966,0.006932889
42.1,0.457217257,0.00653703
42.2,0.487299895,0.006182211
42.3,0.519384876,0.005865249
42.4,0.553604358,0.005583356
42.5,0.590099186,0.005334118
42.6,0.629019444,0.005115472
42.7,0.670525042,0.004925698
42.8,0.714786338,0.004763408
42.9,0.761984785,0.004627549
43,0.812313621,0.004517407
43.1,0.865978589,0.004432621
43.2,0.923198687,0.004373214
43.3,0.984206954,0.004339628
43.4,1.049251272,0.004332774
43.5,1.118595201,0.004354113
43.6,1.192518815,0.004405751
43.7,1.271319544,0.00449057
43.8,1.355312987,0.004612408
43.9,1.444833685,0.004776293
44,1.540235805,0.004988758
44.1,1.641893676,0.005258269
44.2,1.750202119,0.005595794
44.3,1.865576424,0.006015592
44.4,1.988451846,0.006536287
44.5,2.119282357,0.007182368
44.6,2.258538319,0.007986277
44.7,2.406702565,0.008991381
44.8,2.564264125,0.010256201
44.9,2.731708453,0.011860542
45,2.90950241,0.013914442
45.1,3.098071358,0.016571407
45.2,3.297764194,0.020048207
45.3,3.508799906,0.024654812
45.4,3.731185393,0.030840211
45.5,3.964588346,0.039263245
45.6,4.208139222,0.050903181
45.7,4.460120814,0.06723363
45.8,4.71747952,0.090497278
45.9,4.975055615,0.124139455
46,5.22437923,0.173485579
46.1,5.451823917,0.246772467
46.2,5.635897506,0.356631224
46.3,5.743632403,0.521961805
46.4,5.726813665,0.769561298
46.5,5.520983355,1.133318584
46.6,5.054777841,1.645690029
46.7,4.282616698,2.312980775
46.8,3.247376466,3.072243707
46.9,2.133637309,3.762692527
47,1.205450308,4.18924539
47.1,0.612490043,4.275313566
47.2,0.30417778,4.109640908
47.3,0.157781439,3.823682962
47.4,0.087859375,3.501645286
